Rank,Nome,Plataforma,Ano,Genero,Editora,Vendas_America_Norte,Vendas_Uniao_Europeia,Vendas_Japao,Outras_Vendas,Vendas_Globais,Editoras_preenchidas
73,Minecraft,X360,2013,Diversos,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,Microsoft Game Studios
74,Animal Crossing: New Leaf,3DS,2012,Simulação,Nintendo,2.01,2.32,4.36,0.41,9.100000000000001,Nintendo
75,Mario Party DS,DS,2007,Diversos,Nintendo,0.0,1.88,1.98,0.7,4.56,Nintendo
76,The Elder Scrolls V: Skyrim,X360,2011,RPG,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,Bethesda Softworks
77,Super Mario Kart,SNES,1992,Corrida,Nintendo,3.54,0.0,3.81,0.18,7.529999999999999,Nintendo
78,FIFA 16,PS4,2015,Esportes,Electronic Arts,1.11,6.06,0.06,1.26,8.49,Electronic Arts
79,Wii Party,Wii,2010,Diversos,Nintendo,1.79,3.53,2.49,0.68,8.49,Nintendo
80,Halo 2,XB,2004,Tiro,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.48,Microsoft Game Studios
81,Mario Party 8,Wii,2007,Diversos,Nintendo,3.81,2.3,1.58,0.73,8.42,Nintendo
82,Pokemon Black 2/Pokemon White 2,DS,2012,RPG,Nintendo,2.91,1.86,3.14,0.43,8.34,Nintendo
83,FIFA Soccer 13,PS3,2012,Ação,Electronic Arts,1.06,5.05,0.13,2.01,8.25,Electronic Arts
84,The Sims 3,PC,2009,Simulação,Electronic Arts,0.98,6.42,0.0,0.71,8.11,Electronic Arts
85,GoldenEye 007,N64,1997,Tiro,Nintendo,5.8,2.01,0.13,0.15,8.09,Nintendo
86,Mario & Sonic at the Olympic Games,Wii,2007,Esportes,Sega,2.58,3.9,0.66,0.91,8.05,Sega
88,Final Fantasy VIII,PS,1999,RPG,SquareSoft,2.28,1.72,3.63,0.23,7.86,SquareSoft
89,Pokémon Platinum Version,DS,2008,RPG,Nintendo,0.0,0.0,2.69,0.55,3.24,Nintendo
90,Pac-Man,2600,1982,Quebra-cabeça,Atari,7.28,0.45,0.0,0.08,7.8100000000000005,Atari
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Ação,Take-Two Interactive,2.9,2.83,0.24,1.75,7.720000000000001,Take-Two Interactive
92,Super Mario Galaxy 2,Wii,2010,Plataforma,Nintendo,3.66,2.42,0.98,0.64,7.7,Nintendo
93,Star Wars Battlefront (2015),PS4,2015,Tiro,Electronic Arts,2.93,3.29,0.0,1.23,7.450000000000001,Electronic Arts
94,Call of Duty: Advanced Warfare,PS4,2014,Tiro,Activision,2.8,3.3,0.14,1.37,7.609999999999999,Activision
95,The Legend of Zelda: Ocarina of Time,N64,1998,Ação,Nintendo,4.1,1.89,1.45,0.16,7.6,Nintendo
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Plataforma,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.569999999999999,Sony Computer Entertainment
97,Super Mario Bros. 2,NES,1988,Plataforma,Nintendo,5.39,1.18,0.7,0.19,7.46,Nintendo
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Luta,Nintendo,3.24,1.35,2.42,0.43,7.4399999999999995,Nintendo
99,Call of Duty: World at War,X360,2008,Tiro,Activision,0.0,1.9,0.0,0.69,2.59,Activision
100,Battlefield 3,X360,2011,Tiro,Electronic Arts,4.46,2.13,0.06,0.69,7.34,Electronic Arts
101,The Legend of Zelda: Twilight Princess,Wii,2006,Ação,Nintendo,3.83,2.19,0.6,0.7,7.319999999999999,Nintendo
102,Call of Duty: Black Ops 3,XOne,2015,Tiro,Activision,4.52,2.09,0.01,0.67,7.289999999999999,Activision
103,Just Dance,Wii,2009,Diversos,Ubisoft,3.51,3.03,0.0,0.73,7.27,Ubisoft
104,Battlefield 3,PS3,2011,Tiro,Electronic Arts,2.85,2.93,0.35,1.1,7.23,Electronic Arts
106,Tekken 3,PS,1998,Luta,Sony Computer Entertainment,3.27,2.22,1.4,0.0,6.890000000000001,Sony Computer Entertainment
107,Crash Bandicoot 3: Warped,PS,1998,Plataforma,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,Sony Computer Entertainment
108,Super Smash Bros. Melee,GC,2001,Luta,Nintendo,4.41,1.04,1.39,0.22,7.06,Nintendo
109,Mario Kart 8,WiiU,2014,Corrida,Nintendo,3.13,2.07,1.27,0.49,6.959999999999999,Nintendo
110,Fallout 4,PS4,2015,RPG,Bethesda Softworks,2.47,3.15,0.24,1.1,6.960000000000001,Bethesda Softworks
111,Mario Kart: Double Dash!!,GC,2003,Corrida,Nintendo,4.12,1.77,0.0,0.19,6.080000000000001,Nintendo
116,Uncharted 3: Drake's Deception,PS3,2011,Ação,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.82,Sony Computer Entertainment
117,Crash Bandicoot,PS,1996,Plataforma,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.819999999999999,Sony Computer Entertainment
118,Zumba Fitness,Wii,2010,Esportes,505 Games,3.5,2.64,0.0,0.67,6.8100000000000005,505 Games
119,Gears of War 2,X360,2008,Tiro,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.77,Microsoft Game Studios
120,Uncharted 2: Among Thieves,PS3,2009,Ação,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.7299999999999995,Sony Computer Entertainment
121,Call of Duty 4: Modern Warfare,PS3,2007,Tiro,Activision,3.1,2.3,0.28,1.04,6.720000000000001,Activision
122,FIFA 12,PS3,2011,Esportes,Electronic Arts,0.84,4.32,0.11,1.42,6.69,Electronic Arts
123,Big Brain Academy,DS,2005,Diversos,Nintendo,1.67,2.78,1.6,0.62,6.669999999999999,Nintendo
124,Red Dead Redemption,PS3,2010,Ação,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6000000000000005,Take-Two Interactive
125,FIFA 15,PS4,2014,Esportes,Electronic Arts,0.79,4.29,0.05,1.47,6.6,Electronic Arts
126,Donkey Kong Country Returns,Wii,2010,Plataforma,Nintendo,3.25,1.84,1.03,0.47,6.59,Nintendo
127,The Elder Scrolls V: Skyrim,PS3,2011,RPG,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,Bethesda Softworks
128,The Legend of Zelda,NES,1986,Ação,Nintendo,0.0,0.93,1.69,0.14,2.7600000000000002,Nintendo
129,Assassin's Creed III,PS3,2012,Ação,Ubisoft,2.64,2.56,0.16,1.14,6.5,Ubisoft
130,Halo: Combat Evolved,XB,2001,Tiro,Microsoft Game Studios,4.98,1.3,0.0,0.07,6.3500000000000005,Microsoft Game Studios
131,Pokémon Emerald Version,GBA,2004,RPG,Nintendo,2.57,1.58,2.06,0.21,6.420000000000001,Nintendo
133,Pokémon Crystal Version,GB,2000,RPG,Nintendo,2.55,1.56,1.29,0.99,6.39,Nintendo
134,Halo 3: ODST,X360,2009,Tiro,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.359999999999999,Microsoft Game Studios
135,Red Dead Redemption,X360,2010,Ação,Take-Two Interactive,3.7,0.0,0.09,0.57,4.36,Take-Two Interactive
136,Super Mario Sunshine,GC,2002,Plataforma,Nintendo,4.01,1.26,0.87,0.17,6.31,Nintendo
137,Street Fighter II: The World Warrior,SNES,1992,Luta,Capcom,2.47,0.83,2.87,0.12,6.29,Capcom
138,World of Warcraft,PC,2004,RPG,Activision,0.07,6.21,0.0,0.0,6.28,Activision
139,Driver,PS,1999,Ação,GT Interactive,3.11,2.8,0.02,0.0,5.93,GT Interactive
140,Kinect Sports,X360,2010,Esportes,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,Microsoft Game Studios
141,Gears of War 3,X360,2011,Tiro,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.23,Microsoft Game Studios
142,Gears of War,X360,2006,Tiro,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.109999999999999,Microsoft Game Studios
144,Sonic the Hedgehog 2,GEN,1992,Plataforma,Sega,4.47,1.2,0.16,0.19,6.0200000000000005,Sega
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Ação,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,Konami Digital Entertainment
146,Metal Gear Solid,PS,1998,Ação,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,Konami Digital Entertainment
147,The Last of Us,PS3,2013,Ação,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.9799999999999995,Sony Computer Entertainment Europe
149,LittleBigPlanet,PS3,2008,Plataforma,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,Sony Computer Entertainment
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,RPG,Nintendo,0.66,0.69,4.35,0.15,5.85,Nintendo
151,LEGO Star Wars: The Complete Saga,Wii,2007,Ação,LucasArts,3.66,1.63,0.0,0.53,5.82,LucasArts
152,Resident Evil 2,PS,1998,Ação,Virgin Interactive,1.88,1.47,2.02,0.45,5.819999999999999,Virgin Interactive
153,Tekken 2,PS,1996,Luta,Sony Computer Entertainment,0.0,1.89,1.36,0.23,3.48,Sony Computer Entertainment
154,Cooking Mama,DS,2006,Simulação,505 Games,3.13,1.94,0.07,0.58,5.720000000000001,505 Games
155,Destiny,PS4,2014,Tiro,Activision,2.49,2.05,0.16,0.96,5.66,Activision
156,Tetris,NES,1988,Quebra-cabeça,Nintendo,2.97,0.0,1.81,0.11,4.890000000000001,Nintendo
157,Assassin's Creed II,PS3,2009,Ação,Ubisoft,2.54,1.95,0.21,0.87,5.57,Ubisoft
158,Super Smash Bros.,N64,1999,Luta,Nintendo,2.95,0.6,1.97,0.04,5.5600000000000005,Nintendo
159,Assassin's Creed,X360,2007,Aventura,Ubisoft,3.28,1.65,0.07,0.55,5.55,Ubisoft
160,Batman: Arkham City,PS3,2011,Ação,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.5200000000000005,Warner Bros. Interactive Entertainment
161,Forza Motorsport 3,X360,2009,Corrida,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.52,Microsoft Game Studios
162,Monster Hunter Freedom Unite,PSP,2008,RPG,Capcom,0.47,0.57,4.13,0.34,5.51,Capcom
163,Super Mario Advance,GBA,2001,Plataforma,Nintendo,3.14,1.24,0.91,0.2,5.49,Nintendo
164,Mario Kart: Super Circuit,GBA,2001,Corrida,Nintendo,2.62,1.64,0.99,0.23,5.48,Nintendo
165,Super Mario World,GBA,2001,Plataforma,Nintendo,0.0,1.11,0.95,0.2,2.2600000000000002,Nintendo
166,Pokemon Stadium,N64,1999,Estratégia,Nintendo,3.18,1.24,0.94,0.09,5.449999999999999,Nintendo
167,Call of Duty: World at War,PS3,2008,Tiro,Activision,2.72,1.87,0.0,0.84,5.43,Activision
169,Minecraft,PS3,2014,Diversos,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,Sony Computer Entertainment
170,Final Fantasy XIII,PS3,2009,RPG,Square Enix,1.74,1.24,1.87,0.52,5.369999999999999,Square Enix
171,Dr. Mario,GB,1989,Quebra-cabeça,Nintendo,2.18,0.96,2.0,0.2,5.340000000000001,Nintendo
172,Pokemon Pinball,GB,1999,Diversos,Nintendo,3.02,1.12,1.01,0.0,5.15,Nintendo
173,Assassin's Creed III,X360,2012,Ação,Ubisoft,3.13,1.71,0.03,0.44,5.3100000000000005,Ubisoft
174,Final Fantasy IX,PS,2000,RPG,SquareSoft,1.62,0.77,2.78,0.14,5.31,SquareSoft
176,Donkey Kong 64,N64,1999,Plataforma,Nintendo,3.33,0.79,1.09,0.06,5.27,Nintendo
177,Assassin's Creed II,X360,2009,Ação,Ubisoft,3.1,0.0,0.08,0.51,3.6900000000000004,Ubisoft
178,Professor Layton and the Curious Village,DS,2007,Quebra-cabeça,Nintendo,1.22,2.48,1.03,0.52,5.25,Nintendo
179,Tomb Raider II,PS,1997,Ação,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,Eidos Interactive
182,Diablo III,PC,2012,RPG,Activision,2.43,2.15,0.0,0.62,5.2,Activision
183,Super Mario Bros. 3,GBA,2003,Plataforma,Nintendo,2.93,1.25,0.83,0.2,5.21,Nintendo
186,FIFA Soccer 13,X360,2012,Ação,Electronic Arts,1.08,3.48,0.03,0.58,5.170000000000001,Electronic Arts
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Plataforma,Nintendo,2.1,0.74,2.2,0.11,5.15,Nintendo
189,Tomodachi Life,3DS,2013,Simulação,Nintendo,0.96,2.02,1.89,0.28,5.15,Nintendo
190,Mario & Sonic at the Olympic Games,DS,2008,Esportes,Sega,1.64,2.48,0.44,0.58,5.140000000000001,Sega
192,Kirby's Dream Land,GB,1992,Plataforma,Nintendo,2.71,0.61,1.7,0.11,5.13,Nintendo
193,Fable III,X360,2010,RPG,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,Microsoft Game Studios
194,Call of Duty: Advanced Warfare,XOne,2014,Tiro,Activision,3.21,1.53,0.01,0.38,5.13,Activision
195,Microsoft Flight Simulator,PC,1996,Simulação,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.11,Microsoft Game Studios
197,Resident Evil 5,PS3,2009,Ação,Capcom,1.96,1.43,1.08,0.65,5.12,Capcom
198,Grand Theft Auto V,XOne,2014,Ação,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,Take-Two Interactive
199,Grand Theft Auto: Vice City Stories,PSP,2006,Ação,Take-Two Interactive,1.7,2.02,0.16,1.21,5.09,Take-Two Interactive
200,FIFA Soccer 11,PS3,2010,Esportes,Electronic Arts,0.6,3.29,0.06,1.13,5.08,Electronic Arts
201,Super Mario Bros.,GB,1999,Plataforma,Nintendo,3.4,1.3,0.0,0.22,4.92,Nintendo
202,Resident Evil,PS,1996,Ação,Virgin Interactive,2.05,1.16,1.11,0.73,5.050000000000001,Virgin Interactive
203,Tony Hawk's Pro Skater,PS,1999,Esportes,Activision,3.42,1.38,0.02,0.2,5.02,Activision
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Luta,Nintendo,2.59,1.06,0.8,0.57,5.0200000000000005,Nintendo
205,Warzone 2100,PS,1999,Estratégia,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,Eidos Interactive
206,Spyro the Dragon,PS,1998,Plataforma,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,Sony Computer Entertainment
207,Link's Crossbow Training,Wii,2007,Tiro,Nintendo,3.06,1.18,0.29,0.46,4.99,Nintendo
209,Fallout 3,X360,2008,RPG,Bethesda Softworks,3.39,1.03,0.09,0.44,4.95,Bethesda Softworks
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,RPG,Nintendo,1.85,1.2,1.54,0.37,4.96,Nintendo
211,Uncharted: Drake's Fortune,PS3,2007,Ação,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,Sony Computer Entertainment
213,LEGO Star Wars: The Complete Saga,DS,2007,Ação,LucasArts,2.89,1.54,0.0,0.0,4.43,LucasArts
214,Diddy Kong Racing,N64,1997,Corrida,Nintendo,2.91,0.99,0.89,0.1,4.89,Nintendo
215,Monster Hunter Freedom 3,PSP,2010,RPG,Capcom,0.0,0.0,4.87,0.0,4.87,Capcom
216,Dr. Mario,NES,1990,Quebra-cabeça,Nintendo,2.62,0.6,1.52,0.1,4.84,Nintendo
217,God of War III,PS3,2010,Ação,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.8500000000000005,Sony Computer Entertainment
218,StarCraft II: Wings of Liberty,PC,2010,Estratégia,Activision,2.56,1.68,0.0,0.59,4.83,Activision
219,Assassin's Creed,PS3,2007,Aventura,Ubisoft,1.91,2.0,0.09,0.83,4.83,Ubisoft
220,FIFA 15,PS3,2014,Esportes,Electronic Arts,0.57,3.14,0.04,1.07,4.82,Electronic Arts
221,Crash Team Racing,PS,1999,Corrida,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,Sony Computer Entertainment
222,FIFA 17,PS4,2016,Esportes,Electronic Arts,0.28,3.75,0.06,0.69,4.779999999999999,Electronic Arts
223,Batman: Arkham City,X360,2011,Ação,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.750000000000001,Warner Bros. Interactive Entertainment
